position,text_of_post
toxic,The president of Turkey is an effing pig.
toxic,"Maybe this a$$hat can hook up with rosalyn clueless, our very special anchorage driver of the day. What a cute couple these two idiots would make."
toxic,"you're the queen of idiotic comments. why not call the dispatch and demand that everybody comments be removed. oh wait,,,you already have."
non-toxic,"Shoot.  Wish I could be at his speech in Golden.  I'd like to corner that jerk and throw in his face his stupid replies to me that our wars in the middle east are for humanitarian reasons.  The Democrats have really shown their war-mongering of late.  They used to blow the horn they were the party of peace, but that's been nothing but talk."
non-toxic,"to protest such is meaningless stupidity of the left period. its not thier busines to know anyones tax returns prior to being elected into office. ,, and please save the stupidity, this is left wing period, get over it regardless of how many times you post your drivel we see thru you left wingnuts.. if there is anything wrong the irs will deal with issues, as for the russian bs again, grow up and get into reality"
toxic,she is a demented old hag
toxic,"Yeah, what a jerk for pointing out that they were so far out of compliance with the law."
toxic,"Goldwater lost by a landslide and it wasn't because of Vietnam. Vietnam became LBJ's war, and the huge protests drove him from seeking reelection. Nixon won with dirty tricks and was tossed out on his ear. Nixon prolonged the war by stalling the peace talks, and thousands of additional US military died. But I see your point, Trump said he would get the US out of Afghanistan because he thought that would get him votes. So now, another campaign promise tossed into the circular file. No matter, his base will still love him. In the meantime the US will still be fighting a war of attrition against people who have a lifetime stake in their country. Pretty stupid."
non-toxic,"Trump caught lying.......again, fired because of Russia investigation not any of the other garbage he started with.   Incompetent fool."
toxic,"Only Sarah Palin and trump are stupid and cruel enough to like this.  Now Sarah can ""hunt"" some more from her helicopter."
non-toxic,"The import of it, so to speak, is to remind ""the world"" that there are idiots who think they are shaping the world through a lot of public relations activity. Making a movie and writing ""music"". Remember, broadcast TV needed a female body that could dance and, so to speak, sing because they were launching this new thing called MTV. Adolescent boys ate it up as it addressed their sexual fantasies. MSM loved it too, as they could sell more soap too. Once you are in the MSM, you are then a kind of immortal, insofar as media is involved, which is a separate ""world"" that ""conquers"" the actual world."
non-toxic,Not surprising from this old bigot.
non-toxic,"in the article, Mr Martin uses Tom Nichols' book as a backdrop for his own words on Donald Trump and the state of America.  It would be difficult to discern from the article, but it might come as a surprise to those who think Mr Nichols is talking about a uniquely Conservative brand of stupid, that Tom Nichols is a life-long Republican. 

Nichols was vehemently opposed to Donald Trump during Trump's campaign and while publicly expressing immense distaste for Hillary Clinton, he argued that Republicans should vote for her rather than an individual he saw as fundamentally unfit for office. 

A simple review of Nichols' writings will show he doesn't restrict himself to conservative idiocy"
non-toxic,"You know, I just spent the last 8 years hearing the country was headed for disaster when Obama was in, heard the same thing when Bush Jr. was in. Guess what? We're still here.

I don't care about him going off on a woman and man he was friends with, who chilled at his resort, then they started talking crap about him, so? Trump was lying about a facelift, but she did have a chin tuck while she was there? I'm supposed to look at her face and believe that crap? C'mon, don't care. I'm sure they'll get a ratings bump, which was what the whole thing is about, then they can start a go-fund me campaign to pay for their wedding. The whole thing is stupid.

Should Trump be able to hold his water with such idiocy, yes, but he's not like that. Him being a jerk and not acting like other Presidents will not cause the downfall of this country. You are correct, he is mean spirited."
toxic,"hey ignorant lefty, we understand the need for taxes but what you alt left spendaholics dont is that OVER taxation does the economy and people harm, and taxes based on bs like the GW carbon lies are nonsense.. . 

I am so tired of ignorant sheep canadians sitting in thier public paid work safe spaces in a country with some of the highest taxes doing real damage to us all, arrogantly lecturing us on how we should shut up and take it!,, TAke a hike lefty"
non-toxic,if trump makes this stupid idiot secretary of the va i will give back my va benefits and disablility and disavow my military service.. what an insult to veterans.. i hate trump for his ignorance...
non-toxic,He was likely a complete scumbag -however to punish him requires actual proof. I am impressed with the lady having the integrity to admit she does not know if she gave consent. I am sure she was tempted to lie so this guy gets punished. Obviously she has good judgement when sober.
non-toxic,"I am totally with you on this continued stupidity that has been US policy, and now Hawaiis effort. I was a military officers wife expecting my second son, stationed in Germany at this time. As I recall, Kennedy gave Kruschev an opportunity to "" save face"". I doubt that Trump has the intelligence or skill, nor has he picked an intelligent UN rep. Or cabinet. This is where investigative journalism makes the difference. I am glad that Civil Beat is challenging the status quo mentality."
toxic,"In this debate, all Trump did was remove all doubt that he's not a presidential contender and he is an idiot."
toxic,Yeah....or she give a crap about he marriage and loses it now.
non-toxic,"Au contraire. We need to be much more willing to call ""lies"" on the people who are lying. 

Not doing so is why we are in this mess. Many of seem to have forgotten that The Donald rode into politics on the basis of one lie: that Barrack Obama was born in Kenya. It was proven as a lie almost from the outset, yet for some reason the media felt they needed to show respect for this clownish crook's verbal spew, so nobody ever called him the liar that he was and is. Meanwhile millions of fools were duped by his charade and now actually BELIEVE that Obama was a tyrannical Muslim, raised from an early age to rise to the Presidency and then impose Sharia law on our great and shining nation. 

So: RG, thank you for calling a lie a lie."
toxic,idiot
toxic,"kill the filibuster, fire the paliamentarian"
toxic,How can you make such a stupid statement as to say I contribute nothing to society ? I pay my local property taxes which educates our kids and I pay many thousands in federal income taxes each year which supports society .  What is wrong with you for you to make such a stupid statement without even knowing what your talking about ?
toxic,Hey civil comments go fuck yourself you unamerican ASSHOLES
non-toxic,Quit reposting this nonsense.
non-toxic,Hawaii imports coal and burns it Rube.  Do some research and stop making a fool of yourself.
toxic,"If all it takes is a couple of thousands of dollars to 'access' the PM. I would do so ten times over IF I was allowed to yell 2 inches from his face about what a dim witted moron he is.

Ten times.

Then, I would take my $20 grand and donate it to a real charity and not the bs ones that Justin is funneling OUR money into some bogus scheme he claims is legit."
toxic,"the GOP had 8 years to come up with plan, 
DISPLAYS how stupid adn bankrupt their ideology is  !"
toxic,Another idiot with a firearm.  At least be smart and responsible with your firearms if you own them.
non-toxic,Cull the herd.
non-toxic,"Fortunately, the technically inept, like you, don’t run the ATF."
toxic,"Why should Toronto not be reminded they were the North American City that first welcomed this dangerous form of moronic, far right wing populism which the entire World has been struggling with ever since ?

Go ahead and build it."
toxic,"You're an ass for trying to copy my account.
I changed mine to show you're a fake.
You should be flagged and banned."
non-toxic,"I think he meant he can stab people in the back.  As long as he does it to his trumpers it’s okay, they don’t seem to mind the shiv in the back.  Fighter, he’s nothing but a cowardly draft dodger with bad ankles, lol"
toxic,CRAP!
non-toxic,"Special OPs does dozens of these raids all the time. Should the president be in the situation room for each one? By the way, where was Obama and Hillary when the Benghazi attack was going on late into the night? Can't answer because nobody knows that is willing to talk. Stop being a hypocrite."
non-toxic,Louie is living proof Michele obama had sex with a RAT
non-toxic,"I don't know which is sillier - that Edmonds has a ""diversity commission"".or that the Edmonds police chief somehow thinks that a diversity commission is actually going to do anything to help with a situation like this.  

Then, I decided my initial reaction might be unfair so I toodled on over to the Edmonds Diversity Commission website and checked out a recent commission agenda (http://tinyurl.com/y9el4uju).  LOL. Yep, it's just as silly as I thought.

But, as we all  know, in today's environment, symbolism is all that counts."
toxic,Bernier is an absurd incompetent.
non-toxic,Idiotic enough to have won the election for president of the United States?
toxic,"yet its the left that are the lunatic fringe period with no care to economic sanity, finances , debt or reality, LIKE YOU!,, teh tea party is the most sane group of them all, if you had a clue what they were about you would agree,, see ignorant one they are about paying taxes but NO MORE< they pay enough thus its time for government to stop the spending insanity.. maybe you and that nut job rmiller should get a room and share your stupidity together"
non-toxic,"As a US citizen, I can tell you, the trumps are no farce. It's a real tragedy for us and the world. I hope I live long enough to see them all die. They are a disgrace to civilized people."
toxic,Shut the fuck up you stupid bitch
non-toxic,"Ha, ha, ha, ha, ha. You tell 'em SJSJ5. ""Looks like"" only to totally deaf, dumb and blind partisans."
non-toxic,"""It requires listening to people and thinking about what they say.""

Yes, it does.  I like to think I have.

Do I ""think Brown deserved to die because he was imperfect?""  No.

Do I ""think his life was not worthy of a protest over his death?""  No.

Do I think bad things are NOT going to happen if I start fighting with a police officer?  No.

Brown was an 18-year-old black male.  Some white males that age do dumb things.  I do not ""think"" this - I know this.  

I'm going to assert that some 18-year-old black males also do dumb things.

At one level, I'll concede EVERYTHING'S about race.  At another level, however, it's all about people, irrespective of race, doing dumb things.  Brown did something dumb.

Your article might have placed more emphasis on stupidity, less on phenotype."
toxic,"They look ridiculous because they wear liturgical vestments? What do you say if you see a male judge in his robes? ""Hey man, you're wearing a DRESS!"".  Do you ever go to graduation ceremonies, and see academics in their gowns and hoods? Does that blow your mind or what - - men wearing ""dresses"" and colorful fabric over top!"
toxic,"Don't be silly. ""True"" Coloradans have boats, too."
non-toxic,"Chuck Nasty will be battling some mediocre player from the East coast for MVP.  Its ridiculous, that East Coast bias!"
non-toxic,"Valleyisles>  Follow Me, Valleyisles, you fool, ha, ha, ha!!!!"
toxic,"Sorry to have to do this, but just to see if profanity filtering is enabled: fuck."
non-toxic,"For Russians posting here: it is ""quotation,"" not quote. The latter (i.e. to quote) is a verb.. To cite something someone has said is properly referred to as a quotation (a noun). No charge for the English lesson. That said who cares what the KGB man in the Kremlin has to say about anything? He's a liar."
non-toxic,"Democrats,  you cant fix stupid. This idiot wants to impeach the President  for deporting illegals, and Hillary clinton thinks America should hate the ME A, which had absolutely nothing to do with the wack job in Las Vegas. No wonder these idiots lost."
toxic,"""The cost of a cell phone bill""..
""Like your doctor/plan, keep your doctor/plan""

“Lack of transparency is a huge political advantage,” said Gruber. “Basically, call it the stupidity of the American voter or whatever, but basically that was really, really critical to getting the thing to pass.” 


Spare me your blatant hypocrisy for once, libs."
toxic,Humans exhale carbon dioxide. This is responsible for climate change. Now I've heard it all. Ridiculous.
toxic,"She is saying ""you will pay less on your Hydro bill and I will get it back in taxes or by running up the debt."" She really does think people are stupid."
toxic,Lets hope she does not create more terrorist breeding grounds. Bush. Obama and Hilary really gave a boost to the spread of Islam which is pretty stupid.
toxic,Too funny.  Just being illegal is no longer enough.  Now the left has to get all gooey feeling they have done something.  More rules always makes them feel better.  Pathetic is far too kind a word to describe that sort of mentality.
toxic,"The last proudly stupid man president we had was W. 
That didn't end well."
non-toxic,"What the f**k do you mean vicious? If those other guys weren't so stupid, nobody would disagree. Whoops, sorry, yeah?"
toxic,"Lying hypocrites!
http://www.denverpost.com/2016/11/20/ozone-air-pollution-colorado-fails-federal-standards/"
toxic,When will killlary lose her racist supporters? There are plenty of them here
non-toxic,"Of course the Edmonds city council isn't going to meet their goal by 2025...the article even admits Edmonds can't do a thing about where the BPA sources their power.  But that's not the point, now is it?  All this is just an opportunity for the Edmonds city council to engage in what is quickly becoming a favorite pastime of the left; that vacuous, pointless, ridiculous, and stupefying exercise otherwise known as ""virtue signaling""."
toxic,"What jerks, those Downers."
non-toxic,why would citizens who demand the truth go on trial? utterly absurd and stupid.
non-toxic,You maybe what to find out what happens first before you haul him behind the barn and beat the crap out of him Tell The Truth?
toxic,Trump troll!
toxic,Your inane comment makes you look ignorant and immature.
non-toxic,"I just love the way right-wingers call everyone with whom they disagree ""liars."" Not into personal insults, and I have no more inside info than you do. What I do know is there is an investigation underway, and we'll see how it turns out.

Trump's attempts to obstruct, now that the investigation follows the money, appears suspicious. If he's innocent, seems he would support an investigation to clear his name, and he likely wouldn't inquire about pardons for his aides, his family, and himself.

Kushner's testimony was ridiculous. Trump's senior advisor didn't even know the name of the attending Russian ambassador? And he didn't know the subject of the meeting, when the subject line clearly indicated its purpose? Why didn't Kushner disclose his contacts on his security clearance forms - his assistant's fault?

BTW: I never said anything about you not buying into CNN's lies. You made that up. And I'll no longer respond to your personal insults, so keep it civil if you're able to do so."
toxic,"how did this get through screening...?  besides being a stupid, idiotic, moronic comment it is an insulting and below the belt comment.  Vincent and the Dumpster are suitable companions to the 'looney bin'' (as we used to call it.)"
non-toxic,"With an idiot like tRump in charge, along with a #complicit GOP and a staggeringly ignorant base, the word I tend to think of is kakistocracy: ""government by the worst persons; a form of government in which the worst persons are in power.""


http://www.dictionary.com/browse/kakistocracy"
toxic,"Why would you hide out in an area which probably has the most cops per square mile on the island??  Fortunately for HPD, criminals in Hawaii are idiots."
toxic,You idiots forgot a word in your headline.  Trudeau talks ABOUT tech...
toxic,I have never liked this man more. It's about time someone called it like it is with Trump - he's a disgusting cretin.
non-toxic,Hmmm...sex while flying on autopilot. I'm having a tough time believing that one.  I guess we'll see.
toxic,I will NEVER watch again!!!!!!!     Roger Goodell  YOU are an ASS!!!!
non-toxic,"A couple things... the photograph of the ""meet-up"" shows three bored children and, possibly, two adults. Why not interview the children? I'll bet they're not devotees. 

Also, the term ""global conspiracy"" is an oxymoron. 

Why did the reporter not ask about a) photos of Earth from space, b) airplane travel, c) what's in these folks' diet, d) phone numbers for all those ""Flat Earth"" chapters (they only exist in the good old US of A).

And how do these folks live? They drive to work, fly to a Flat Earth convention -- all results of science. 

And why oh why am I writing a comment on something this patently stupid?"
toxic,"DP, don't publish this picture of a ridiculous owner ""protecting"" the dog with glasses. There are folks stupid enough to try it. To pet owners everywhere -they're not interested. Really."
toxic,What a jerk the guy is.
non-toxic,So I get what you're saying if more blacks kill other blacks then it's okay if everybody does it too. This wasn't  a hate crime but whites will still take this opportunity to paint all black as bad. But that's what y'all been doing hating on blacks 😂
non-toxic,"Apparently the ""lesson"" you and others seem to think everyone else but the people dumb enough to vote for Donnie are supposed to learn from the EC selecting Donnie is: embrace idiocy, authoritarianism, anti-Americanism, utter depravity and the cult of personality of an unqualified game show host, all because a minority of Americans are stupid and ignorant enough to do so?"
toxic,Those damned smokers.   You are right.   They are usually sex perverts too!!
toxic,Civil ought to ban all these trolls who copy accounts.
toxic,"Florida and Pennsylvania, the strongest pro-gun states, turned the election, and, still, the pundits are missing it.
ack
Guns are iconic to the point of being talesmanic for that White working class the article says were crucial.    Clinton declared war on guns, calling out the NRA by name, boasting that this was going to be the year they beat them.     She, and the Democrats generally,  just didn't get it.  They called it wrong. 

How could they have been so stupid?  Couldn't they have seen from the runaway NICS background check data that guns were not to be messed with?     The answer explains how and  why they lost.   Having given themselves up to the shameful lusts of the minority fringes, they wanted to be fooled.    To those fringes, guns are hated, because guns are such a part of the hated White working class."
non-toxic,Muslims hate gays and want them dead. Islam is the biggest threat to the LGBT folks on this planet. This is probably only the beginning of this sort of thing.
non-toxic,"As John Wayne said.
""Life is hard: it's harder if you are stupid"""
toxic,why would you want to legislate stupidity?
toxic,"Yeah, sorry, but you're regurgitating bullshit. You want to be a pawn for the rich, fine, but why add to the misinformation?"
toxic,"Stupid - the OT also tells us that rightwingers are wise and leftwingers are fools.

EC 10:2  ""The heart of the wise inclines to the right, but the heart of the fool to the left."""
non-toxic,"@rebel rose.  You sexually assaulted me!

What?  You deny it?  That's what narcissistic perverts do.  

See how silly your logic is?"
non-toxic,"What would Jesus do? Penniless as he was, and we who read the bible know his thoughts on helping the less fortunate and about camels fitting the eyes of needles. The hypocrisy of the christian right is astounding."
non-toxic,"""Fly the flag of the army of northern Virginia proudly!""

The only flag of the Army of Northern Virginia that matters is the white one Lee dragged with his when that Traitor-in-Chief surrendered to General of the US Army Ulysses S. Grant."
toxic,"Bs, the people have spoken - respect the outcome!!!!
Only a fool would state the Democrats and their globalist mentality didn't bring this on themselves.
Dragging that tired old hag across the finish line by any means necessary was a revolting site that exposed their intentions -ooops!!!
We are witnessing the modern day Cold War , the Marxist movement is being rejected on mass and the people are looking for a re-set.
Sorry you don't approve!!!!
Stay turned for the fire works, should make for great media even if they are in denial."
non-toxic,That might not be the stupidest comment I have read on these threads but it is running a damn close second.
non-toxic,"@Big:  Give your head a shake.  Trump lied about those 3 confirmations.  Everything we know about Comey tells us he would never comment on an on-going investigation. 

Trump is a liar and he lied about this.  Don't be so ridiculously naive."
toxic,"Trudeau must be lining up for selfies in his yoga pants as we speak....
You now this is April Fools joke right?
No idiot would go to ChequesRUS - STAN without good cause. 
The real question is why?
Look up the words ""useful idiot"" on google.
It becomes clearer 
Trust me."
toxic,"Well, this sounds like more liberal democrat bullshit."
non-toxic,"You are obviously drinking the leftist Kool Aid which by inference states ""If you disagree with me you are a racist"".  I think Trump was a fool to weigh in but to say he and his supporters are racist is even more foolish."
toxic,They were all pretty peaceful before the white man came. Flagged for being a racist jerk.
non-toxic,Fairly obvious you are a racist P.O.S.  Go to info wars and heritage front to spout your crap.
non-toxic,"Please allow me to assist: 'programs' 'an effort' 'the left' 'the writer' 'an idiot'
You're welcome.
I'll refrain from addressing the general incoherence of the message."
toxic,Now that's stupid. Every modern society is multicultural and will only become more so.
non-toxic,canada should ban childish stupidity from immature posters like you.
non-toxic,"The white man raped and pillaged the land they stole, forced the natives to adopt their laws and language, forced religion upon them only for them to be molested by priests and clergymen, and now the white man wants to tell everyone else what they need to do and wear before arriving here. What nerve! Get rid of all borders and religions and the world will be a much better place."
toxic,Damn kids.
toxic,"Only and idiot would buy a house without any conditions.""  By your definition, an idiot bought the nice one-storey 1,300 sq. foot rancher my wife and toured late last Summer.  We offered $370,000, but it was conditional on a inspection of the crawl-space (which was NOT included in real estate company home specs); nearby owners had been troubled by water seepage from nearby ornamental ponds. 

Our offer was dismissed out of hand because other offers came in without conditions attached.  One got the house...for $425,000.  May not end well for that buyer, but did for us: private sale, 5 yr. old two-storey 2,000 ft. townhouse in ideal location: $399,000.  

True tale from...Chilliwack, BC"
non-toxic,"What an idiot crook..
He'll be perfect as a democrat politician."
non-toxic,"Methamphetamine????  Wow big surprise.  I have never ever heard of any good news with the word methamphetamine attached to it.  Every person I know that does or did that crap is so messed up now.  They are either in jail, homeless, ugly and unemployed or dead!"
non-toxic,"Try to stay on topic, focus, get back on your meds.. Bill Clinton's presidency ended in 2001; Hilary was never President. They have nothing to do with the walking disaster that is Donald Trump."
non-toxic,Muslims would beg to disagree
toxic,Pitiful. Ignorant. Illiterate.
toxic,LOL...not at all.  I just find it funny anyone thinks Trump is some guy of integrity.  I don't need his tax return to tell me any different; the guy's a scum.
non-toxic,"Would loooovvvvvve to have these degenerates step through my front door! Serving lead lunch!

Rid the earth of this! I'll volunteer to take out the garbage!"
non-toxic,"- Stupidest statement I've read in a while:  ""When we bike, we have as much right to the road as when we drive,"" said Vicki Harper, spokeswoman for State Farm.
- Then answers why: ""Unfortunately, when bikes and cars collide, cyclists are much more susceptible to serious injury or death.""
- Pedestrians usually, if not always, have the ""right of way""... and again ""unfortunately"", regardless of human indignation and on-paper 'rights', the human body can't compete with speeds/weight of a ton or two of glass and metal, fiberglass, and plastic... nor distracted drivers ...period.
Motorcycles are better equipped to compete with speeds, and there's token effort to equip riders with protective gear. Bicyclists are at much more disadvantage and often required to use bikepaths when they are present.
Once long ago, I came upon a couple of young boys riding bicycles in the middle of a traffic lane... later at a gas station, one belligerently said their teacher said they had a 'right'. I disagreed."
non-toxic,"""The Church has always been the same.""

You say that I insult you when I say you are ignorant, and then you display your ignorance by statements like that.

To wish to change the Church is not ""a temptation from the devil"", it is a desire to improve things. You call this ""selfishness, self-focus, pride, vanity"", while it is actually none of these. You, yourself, admit that the clerical sexual abuse scandal has been mishandled, so wanting to improve this is of God. When homosexuals are treated like dirt by the institutional Church, changing this is also of God.

Your blather about understanding the Mass is more of your Opus Dei silliness."
non-toxic,"I thought the Iran deal was the worst ever???

This is all academic anyway.  By his own admission Trump doesn't read anything so how would he know what is and what is not a good deal?  We went from having a president many people thought was too intellectual, to one that is ... well, ignorant."
non-toxic,So you are leaving? You really are an idiot.
toxic,"And The Chump is a total and utter idiot, and people who can't see that are fools of the first order."
toxic,"""The cross-partisan Senate committee, which includes five Conservative appointees, two Liberals and two unaffiliated senators, says the federal government has to ensure that language training is provided so the Syrians can successfully join the work force and society.""
They're not going to join the work force and society you idiots!  They're going to stay on welfare and child benefits.
Why can't the Liberals admit they made a mistake and cancel this program.  20,000 more applicants in the pipeline..."
non-toxic,"Barbara:  I used Trump's term to elicit that kind of response! We need to be reminded that he didn't just speak boy banter, but extreme vulgarity. The potential president of America the uses that kind of language routinely. For this election - and then no more - the terms he uses should be uttered as a reminder of what kind of jerk he is."
toxic,"Elton John should sue Donald for using ""Rocket Man"". Damn DOTARD."
toxic,"you left wingers are the mean spirited corrupt incompetents we are standing up against and its way bud, time to put you down with every stupid trolling bs you spew,"
non-toxic,"Dumb, dumb Colitivto

He appears to be here legally.  Stop the hate Colitivto."
toxic,"Depends Donny is a one-trick pony
and his trick is acting like a total swine"
non-toxic,Kick em out. All of em and watch our country get cleaned up fast
toxic,"""Intimidating"" in those states = ""making sure people are who they say they are"". Lighten up DS. Or do you think your fellow liberals are too stupid to see an obvious joke."
non-toxic,"A pathetic comment, in the extreme.  Why don't you shift your sorry posterior down to Ottawa and say something derogatory about his wife to his face?  Go for it, tough guy."
toxic,May all these worthless fuckers drown.
toxic,"In Little Mosque all the stereotypes you would expect were there:  all Muslims were kind, warm hearted, tolerant, liberal, and non judgmental.    Other non white characters were all good people  too. The white police chief was a fool, and most of the white town folks had varying degrees of stupidity and  oafishness.  THe humour centered on how stupid white people are."
toxic,All u haters out there I hope it stays on til.all the kids get married just to spite u idiots .it is a tv show plus they already paid the fine old news..I enjoy watching what ever they are gonna do next .I think most of u are just trolls who hate everythong. If u don't like DON'T WATCH.
non-toxic,"Dylann Roof is an obviously insane mentally retarded person that the MSM is pushing as ""The one that speaks for all White Americans"", while this is just another in a long line of Muslim attacks on America."
toxic,remember when you had even a hick up of intelligence? of course not your an idiot
non-toxic,"For better or worse, at least Harper did stuff. Our current Prime Minster is useless."
non-toxic,The US is one sick crazy hell of a place.   UNBELIEVABLE !!
non-toxic,"SA should not print yobo's mean-spirited, worthless comments."
non-toxic,"Ha, I didn't get-it at first, I keep thinking of the ""slant"" column in the Eugene Weekly.  This seems to be a really dumb thing to prsue."
toxic,The dummy needs to be sitting on Bannon's lap when he makes his idiotic statements. That way he won't be blamed for his stupid comments. 😜
toxic,Fuck this asshole and fuck ADN with it's fascist peer reviewed comment censorship.
non-toxic,"He is just a mindless twit with twitchy fingers, like his hero Drumpf."
non-toxic,"Hey Seaton- ever hear of keeping schools up to code so they don't get sued? Naw, didn't think so. 

Thank you for underscoring what is wrong with you freakin' legislators down in JNU; stellar example."
non-toxic,Wow.  I don't think I've ever read anything so arrogant and pretentious.
non-toxic,"This guy, his supporters....douchebags all...

With no offence intended towards the legitimate,  hygienically useful, douchebag."
toxic,"GM will kowtow to the buffoon in the White House so why don't we stick to European and Asiatic cars which are better built, last longer and have a superior resale value."
non-toxic,"What a typical leftie comment. Its not my fault, sniffle, society made me this way, sniffle, those damned right wingers they MADE me shoot them, sniffle."
toxic,"OVER? HA HA HA HA , what a usual bunch of baloney!
https://www.youtube.com/watch?v=nSokHmURVBU
https://www.youtube.com/watch?v=SyUDGfCNC-k
https://www.youtube.com/watch?v=veLJSKXZJbw

and the list goes on and on and on, the only thing that is over is that fools like you are brain washes stupid."
non-toxic,"One has to remember the venue for such vile intolerance - Eugene Oregon - Where Christians are loathed and Islam is embraced... the same Islam that executes homosexuals, beheads ""infidels"" and treats their women like dogs."
non-toxic,"compared to the crap we have in the likes of wynne and the ignorance of trudeau, we will take the fleas anyday"
non-toxic,"Yes, no doubt Albertson - as one of the few intelligent adults in the room - will try and explain yet again that any uptick in crime is not due to SB91. I give him all due respect for even trying to get through to the hysterical knuckdraggers who have decided, based on zero facts or data, that SB91 has “caused” increased crime.  You can’t fix stupid and I no longer try."
toxic,Amazing 16% of Ontarians could be still stupid enough to support her!.
toxic,Liar.  That's what bigoted hate leads to.  Willfully misinformed.
non-toxic,Thank you Trump for making America great again. Not one brick of the wall has been laid but illegals are running for the hills out of the United States. Let's see if Canada's extremist liberal leader changes his tune when he now has to experience what the United States has been experiencing for years with these illegal aliens. As a matter of fact the United States has been acting as a buffer since Canada does not have a border Mexico. Suck it up liberal Canadians. Let's see you walk the talk. I hope these illegal aliens keep swamping Canada.
non-toxic,"You sound more than happy to vote for a criminal and serial liar, you might as well tell that 6th grader of yours crime really does pay. As for your comment of someone from the terrorist watch list buying a weapon. You can blame your own government for that, the information was sent in, the FBI investigated him twice, he was on a list yet the clowns that run the government didn’t put a hold on him. Duh! And people want the government in charge of their healthcare. Insanity at its best!"
toxic,"I've never seen Anchorage so violent like it is now, it's gotten so progressively rotten since the pipeline. I curse that damn pipeline! More people, more crime. Just the way it is. I miss Anchorage the way it used to be. Those days are gone forever, we will never have it back. My heartfelt condolences for all those who lost loved ones this week/year to such senseless violence."
non-toxic,"This has to be the dumbest title I have ever seen...""Rep. Adam Schiff floats new probe over Trump's involvement in lifting FBI informant's gag order"" I feel really sorry for the people that voted for this guy, he is obviously delirious or deranged."
non-toxic,"But they can treat some of their customers, particularly disabled ones, like absolute trash.  I guess that what happens when the bottom line is all that counts."
toxic,"h3ll3ry, h3ll3ry--please go away and zip your ugly lying traitorous mug."
toxic,"In your child like brain you must have thought you got me good.
First, comparing Bill Clinton’s behavior to make Trump seem better is dumb and childish.

Hillary is a murderer (seriously). By your logic that would mean Trump could be a rapist and it would not be a big deal.
If you want to talk politics like a child, go to the Sesame Street forum.

Second, I am not a fan of Bill Clinton. Bill Clinton got deferments just like Trump did except that Bill Clinton was eligible for the draft.

So by your logic, Trump is much worse than Clinton.

I would love for you to explain why you support a war hero hating, draft dodging coward?
Not one person has had the stones to explain how they can support such a vile piece of cowardly trash yet.

I doubt anyone will it would expose their hypocritical stupidity."
non-toxic,"""Why should the taxpayers be on the line for women and men who use their sexuality irresponsibly? ""

Presumably you mean by lefties. I see a lot of irresponsibility on the right: I see hoards of lazy fat white people in Appalachia and the Deep South collecting welfare while engorging themselves on junk food and birthing more babies than they can afford while getting hooked on opiates and then having to receive Medicaid in order to take care of their diabetes, heart attacks and opiate addiction, all while voting for Donald Trump in order to stick it to lib'ruls and prevent ""those people"" from collecting welfare themselves (and we all know what they mean by ""those people."") You want to talk about responsibility? Go ahead!

Yet I still believe, even despite these hideous human beings of whom I speak, in the once-universal, now-quaint concept of the ""common good."" It's a pity nearly everyone on the right, including you, has given up on that concept in favor of  ""every man for himself."""
non-toxic,"Yea, let's retaliate for people gaining access to the truth of the corruption of the Democratic Party before they casted their votes..  Thank you Russia.  Thank you Snowden.  Thank you Assange.  Of course there are those who think us regular peons should not know the truth and should believe the lies told to us by our leaders.  Screw them!"
toxic,YVONERAVONE LOSER TROLL
toxic,Braddah needs to find another line of work. He's too stupid to be a criminal.
toxic,Don't tell the Demo rats! Let them keep running him!
toxic,This is what happens when a moron is elected to the most powerful office in the world.  It's hard to decide who is more irresponsible - Trump or the millions of idiotic Americans who voted for him.
non-toxic,Can't wait for his next meltdown when someone does his genealogy and he finds out his grandma is Jewish and his great-granddad is Black.
non-toxic,"save it liar, I read the stats can report, thenumbers don't lie like you libs do,,  ontarios deficit shrinking is bs, based on selling off stuff, not changing the structural deficits between spending and raxes from the economy, thus in 2017, its right back up sky high,,no more hydro to sell off etc... ontaio jobs are flat, no growth,,, its ignorant lib sheep like you that are the problem..."
non-toxic,"the real measure of all this is whether or not the haters of facts, reality and oleary are able to wake up to the destruction the main stream politicians have been doing to canada and that Oleary is clearly the ONLY ONE with a clue on what needs to be done thus becoming educated rather than an ignorant anti oleary loser"
non-toxic,"'I have no doubt that many settlers will pan this report because it seems to threaten one of their enduring privileges'

Yeah  John, you tell all those Chinese and Muslims you hate to get the hell out of Canada."
toxic,Trump's an idiot - he thinks Andrew Jackson could have prevented the Civil War!
non-toxic,"Yep, and it's also time for cyclists to not act like idiots when they're on the road."
toxic,"They are equally sick of the ugly ""pants suit"" liar!"
toxic,Why don't you just go kiss Trump's ass ?
toxic,"This is a really stupid idea.  Build more affordable rental housing so renters can save to own, and bring back the Registered Home Ownership Program.  It helped me save a down payment in the early 80s.   Young people need savings, not more debt."
toxic,"Charles,
How will you attract people to a political party that tells them they are stupid, immoral, racist, blind, deplorable, should feel guilty because the're white, are better off with restricted liberties, don't have critical thinking and don't know what's best for themselves?"
non-toxic,"I feel sorry for you that your were spent last 15-17 years of  your life protesting near US embassy the treatment of Muslims.... Ooohh, no, it was your first time ? Were you working as pilot on military jet bombing those Muslim countries and finally got a free time to protest? A peak of hypocrisy."
